id,name,role,level,winRate,totalMatches,teamId,heroIds,password
p001,Alex,PLAYER,22,0.68,145,t01,h01;h02;h03;h08,p001123
p002,Blake,PLAYER,18,0.55,98,t01,h04;h05;h06,p002123
p003,Celine,PLAYER,25,0.72,210,t01,h02;h07;h08;h09,p003123
p004,Derek,PLAYER,15,0.45,67,t01,h03;h04;h10,p004123
p005,Elena,PLAYER,20,0.61,120,t01,h01;h06;h11;h12,p005123
p006,Felix,PLAYER,27,0.8,300,t02,h05;h07;h09;h13,p006123
p007,Grace,PLAYER,16,0.5,78,t02,h02;h04;h10,p007123
p008,Hector,PLAYER,21,0.63,155,t02,h08;h11;h14,p008123
p009,Iris,PLAYER,19,0.57,89,t02,h01;h03;h12;h15,p009123
p010,Jack,PLAYER,24,0.7,180,t02,h06;h07;h13,p010123
p011,Kara,PLAYER,26,0.75,250,t03,h04;h09;h11;h14,p011123
p012,Liam,PLAYER,14,0.4,55,t03,h02;h05;h10,p012123
p013,Mia,PLAYER,23,0.66,165,t03,h01;h08;h12;h15,p013123
p014,Noah,PLAYER,17,0.52,72,t03,h03;h06;h13,p014123
p015,Olivia,PLAYER,20,0.59,110,t03,h07;h09;h14;h15,p015123
